province,region,country,date,day.maxtemp_c,day.maxwind_kph,day.totalprecip_mm,day.avghumidity,day.uv,day.daily_will_it_rain
Nghệ An,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-01,31.6,27.7,0.7,72,7.0,1
Ninh Bình,Đồng Bằng Sông Hồng,Vietnam,2024-05-01,30.2,21.6,7.4,78,7.0,1
Ninh Thuận,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-01,33.8,28.1,0.0,74,7.0,0
Phú Thọ,Đồng Bằng Sông Hồng,Vietnam,2024-05-01,29.9,17.0,1.2,70,6.0,1
Phú Yên,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-01,36.4,24.2,0.0,72,9.0,0
Quảng Bình,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-01,37.8,22.0,0.8,64,8.0,1
Quảng Nam,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-01,38.5,14.4,0.1,65,8.0,1
Quảng Ngãi,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-01,40.5,24.1,0.0,64,9.0,0
Quảng Ninh,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-01,28.9,22.7,2.5,76,6.0,1
Quảng Trị,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-01,39.8,17.6,0.0,57,8.0,0
Sóc Trăng,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-01,37.6,19.4,0.1,58,8.0,1
Sơn La,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-01,37.8,9.7,0.0,26,8.0,0
Tây Ninh,Đông Nam Bộ,Vietnam,2024-05-01,40.4,18.1,0.0,50,9.0,0
Thái Bình,Đồng Bằng Sông Hồng,Vietnam,2024-05-01,29.8,25.4,0.4,78,6.0,1
Thái Nguyên,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-01,28.6,16.9,1.4,74,6.0,1
Thanh Hóa,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-01,29.6,21.6,1.5,82,6.0,1
Thừa Thiên - Huế,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-01,39.8,17.6,0.0,57,8.0,0
Tiền Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-01,37.7,15.1,0.0,61,8.0,0
Trà Vinh,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-01,37.5,18.7,0.0,62,8.0,0
Tuyên Quang,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-01,29.9,17.0,1.2,70,6.0,1
Vĩnh Long,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-01,39.4,15.5,0.0,58,8.0,0
Vĩnh Phúc,Đồng Bằng Sông Hồng,Vietnam,2024-05-01,29.9,17.0,1.2,70,6.0,1
Yên Bái,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-01,29.9,17.0,1.2,70,6.0,1
An Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-02,39.8,16.2,0.0,53,8.0,0
Bà Rịa-Vũng Tàu,Đông Nam Bộ,Vietnam,2024-05-02,31.8,23.0,0.2,72,7.0,1
Bắc Giang,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-02,26.9,13.0,2.9,83,6.0,1
Bắc Kạn,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-02,24.4,5.8,10.7,92,5.0,1
Bạc Liêu,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-02,37.4,22.7,0.0,60,8.0,0
Bắc Ninh,Đồng Bằng Sông Hồng,Vietnam,2024-05-02,26.9,13.0,2.9,83,6.0,1
Bến Tre,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-02,38.6,18.7,0.0,61,8.0,0
Bình Định,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-02,35.1,23.8,0.0,74,9.0,0
Bình Dương,Đông Nam Bộ,Vietnam,2024-05-02,39.5,24.5,0.7,57,8.0,1
Bình Phước,Đông Nam Bộ,Vietnam,2024-05-02,38.1,20.5,1.4,60,8.0,1
Bình Thuận,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-02,34.5,20.2,0.1,68,7.0,1
Cà Mau,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-02,39.1,13.7,0.0,60,8.0,0
Cần Thơ,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-02,38.2,21.2,0.0,59,8.0,0
Cao Bằng,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-02,22.6,7.6,3.8,92,5.0,1
Đà Nẵng,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-02,33.2,19.1,6.95,81,7.0,1
Đắk Lắk,Tây Nguyên,Vietnam,2024-05-02,37.7,9.0,4.42,62,8.0,1
Đắk Nông,Tây Nguyên,Vietnam,2024-05-02,37.7,9.0,4.42,62,8.0,1
Điện Biên,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-02,35.9,8.3,3.5,49,8.0,1
Đồng Nai,Đông Nam Bộ,Vietnam,2024-05-02,39.5,24.5,0.7,57,8.0,1
Đồng Tháp,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-02,38.4,19.4,0.0,58,8.0,0
Gia Lai,Tây Nguyên,Vietnam,2024-05-02,33.3,15.5,3.2,69,7.0,1
Hà Giang,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-02,27.8,26.6,2.9,74,6.0,1
Hà Nam,Đồng Bằng Sông Hồng,Vietnam,2024-05-02,27.3,17.3,6.5,88,6.0,1
Hà Nội,Đồng Bằng Sông Hồng,Vietnam,2024-05-02,26.8,9.7,7.01,85,6.0,1
Hà Tĩnh,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-02,31.0,15.8,7.5,83,7.0,1
Hải Dương,Đồng Bằng Sông Hồng,Vietnam,2024-05-02,29.0,19.1,0.2,83,6.0,1
Hải Phòng,Đồng Bằng Sông Hồng,Vietnam,2024-05-02,27.8,16.4,0.1,83,6.0,1
Hậu Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-02,38.2,21.2,0.0,59,8.0,0
TP. Hồ Chí Minh,Đông Nam Bộ,Vietnam,2024-05-02,39.5,24.5,0.7,57,8.0,1
Hòa Bình,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-02,27.2,6.8,4.19,93,6.0,1
Hưng Yên,Đồng Bằng Sông Hồng,Vietnam,2024-05-02,27.3,17.3,6.5,88,6.0,1
Khánh Hòa,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-02,33.3,20.5,0.0,75,8.0,0
Kiên Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-02,35.1,25.6,0.1,66,8.0,1
Kon Tum,Tây Nguyên,Vietnam,2024-05-02,33.3,15.5,3.2,69,7.0,1
Lai Châu,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-02,25.0,7.6,1.4,80,6.0,1
Lâm Đồng,Tây Nguyên,Vietnam,2024-05-02,31.5,10.1,6.3,65,7.0,1
Lạng Sơn,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-02,23.7,13.1,16.3,94,5.0,1
Lào Cai,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-02,29.4,14.3,1.4,78,6.0,1
Long An,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-02,38.6,22.0,0.0,59,9.0,0
Nam Định,Đồng Bằng Sông Hồng,Vietnam,2024-05-02,27.3,17.3,6.5,88,6.0,1
Nghệ An,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-02,31.4,16.2,9.8,84,7.0,1
Ninh Bình,Đồng Bằng Sông Hồng,Vietnam,2024-05-02,27.3,17.3,6.5,88,6.0,1
Ninh Thuận,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-02,32.7,23.4,0.1,73,7.0,1
Phú Thọ,Đồng Bằng Sông Hồng,Vietnam,2024-05-02,26.5,12.6,2.1,85,6.0,1
Phú Yên,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-02,35.1,23.8,0.0,74,9.0,0
Quảng Bình,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-02,30.5,15.1,10.2,87,7.0,1
Quảng Nam,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-02,33.2,19.1,6.95,81,7.0,1
Quảng Ngãi,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-02,36.4,28.1,0.2,73,8.0,1
Quảng Ninh,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-02,25.7,22.0,0.0,87,6.0,0
Quảng Trị,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-02,34.3,15.8,8.06,78,7.0,1
Sóc Trăng,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-02,37.4,22.7,0.0,60,8.0,0
Sơn La,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-02,35.9,8.3,3.5,49,8.0,1
Tây Ninh,Đông Nam Bộ,Vietnam,2024-05-02,38.9,23.0,0.1,52,8.0,1
Thái Bình,Đồng Bằng Sông Hồng,Vietnam,2024-05-02,27.3,21.0,2.5,88,6.0,1
Thái Nguyên,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-02,25.7,7.6,8.5,89,6.0,1
Thanh Hóa,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-02,27.0,14.4,45.8,93,6.0,1
Thừa Thiên - Huế,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-02,34.3,15.8,8.06,78,7.0,1
Tiền Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-02,38.6,18.7,0.0,61,8.0,0
Trà Vinh,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-02,38.1,20.5,0.0,62,8.0,0
Tuyên Quang,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-02,26.5,12.6,2.1,85,6.0,1
Vĩnh Long,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-02,39.2,19.1,0.0,59,8.0,0
Vĩnh Phúc,Đồng Bằng Sông Hồng,Vietnam,2024-05-02,26.5,12.6,2.1,85,6.0,1
Yên Bái,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-02,26.5,12.6,2.1,85,6.0,1
An Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-03,38.3,17.6,1.8,57,8.0,1
Bà Rịa-Vũng Tàu,Đông Nam Bộ,Vietnam,2024-05-03,31.4,25.6,0.2,71,7.0,1
Bắc Giang,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-03,31.4,25.2,22.31,83,7.0,1
Bắc Kạn,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-03,27.5,9.0,13.85,97,6.0,1
Bạc Liêu,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-03,36.9,18.6,1.2,62,8.0,1
Bắc Ninh,Đồng Bằng Sông Hồng,Vietnam,2024-05-03,31.4,25.2,22.31,83,7.0,1
Bến Tre,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-03,37.4,17.6,0.1,62,8.0,1
Bình Định,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-03,33.1,20.2,0.0,77,8.0,0
Bình Dương,Đông Nam Bộ,Vietnam,2024-05-03,39.3,23.6,0.1,55,8.0,1
Bình Phước,Đông Nam Bộ,Vietnam,2024-05-03,38.0,21.2,0.0,60,9.0,0
Bình Thuận,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-03,33.8,24.5,1.3,73,8.0,1
Cà Mau,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-03,37.2,15.1,3.8,64,8.0,1
Cần Thơ,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-03,37.4,14.4,3.5,63,8.0,1
Cao Bằng,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-03,26.4,8.7,10.15,97,6.0,1
Đà Nẵng,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-03,32.6,19.7,1.2,81,7.0,1
Đắk Lắk,Tây Nguyên,Vietnam,2024-05-03,36.7,11.2,0.9,55,8.0,1
Đắk Nông,Tây Nguyên,Vietnam,2024-05-03,36.7,11.2,0.9,55,8.0,1
Điện Biên,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-03,32.7,10.8,7.4,60,7.0,1
Đồng Nai,Đông Nam Bộ,Vietnam,2024-05-03,39.3,23.6,0.1,55,8.0,1
Đồng Tháp,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-03,37.1,20.9,8.7,62,8.0,1
Gia Lai,Tây Nguyên,Vietnam,2024-05-03,33.7,11.5,1.9,54,7.0,1
Hà Giang,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-03,27.2,23.8,0.8,74,6.0,1
Hà Nam,Đồng Bằng Sông Hồng,Vietnam,2024-05-03,29.0,22.7,17.55,85,6.0,1
Hà Nội,Đồng Bằng Sông Hồng,Vietnam,2024-05-03,31.3,18.0,33.37,86,7.0,1
Hà Tĩnh,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-03,31.5,18.4,3.6,88,7.0,1
Hải Dương,Đồng Bằng Sông Hồng,Vietnam,2024-05-03,28.8,20.4,32.5,82,6.0,1
Hải Phòng,Đồng Bằng Sông Hồng,Vietnam,2024-05-03,28.3,20.5,36.1,83,6.0,1
Hậu Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-03,37.4,14.4,3.5,63,8.0,1
TP. Hồ Chí Minh,Đông Nam Bộ,Vietnam,2024-05-03,39.3,23.6,0.1,55,8.0,1
Hòa Bình,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-03,31.3,9.2,18.05,92,7.0,1
Hưng Yên,Đồng Bằng Sông Hồng,Vietnam,2024-05-03,29.0,22.7,17.55,85,6.0,1
Khánh Hòa,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-03,33.0,16.9,0.0,77,7.0,0
Kiên Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-03,34.0,18.4,1.2,67,7.0,1
Kon Tum,Tây Nguyên,Vietnam,2024-05-03,33.7,11.5,1.9,54,7.0,1
Lai Châu,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-03,24.6,6.5,20.0,81,5.0,1
Lâm Đồng,Tây Nguyên,Vietnam,2024-05-03,31.6,10.2,1.3,66,7.0,1
Lạng Sơn,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-03,28.7,20.5,27.4,87,6.0,1
Lào Cai,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-03,32.3,11.9,2.6,76,7.0,1
Long An,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-03,37.8,21.6,0.1,59,8.0,1
Nam Định,Đồng Bằng Sông Hồng,Vietnam,2024-05-03,29.0,22.7,17.55,85,6.0,1
Nghệ An,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-03,31.7,18.4,3.66,85,7.0,1
Ninh Bình,Đồng Bằng Sông Hồng,Vietnam,2024-05-03,29.0,22.7,17.55,85,6.0,1
Ninh Thuận,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-03,32.0,16.6,0.6,75,7.0,1
Phú Thọ,Đồng Bằng Sông Hồng,Vietnam,2024-05-03,29.3,16.6,46.36,90,6.0,1
Phú Yên,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-03,33.1,20.2,0.0,77,8.0,0
Quảng Bình,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-03,29.7,20.9,5.8,84,6.0,1
Quảng Nam,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-03,32.6,19.7,1.2,81,7.0,1
Quảng Ngãi,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-03,36.2,24.8,0.2,73,9.0,1
Quảng Ninh,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-03,26.8,12.6,75.1,91,6.0,1
Quảng Trị,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-03,33.7,13.7,12.2,80,7.0,1
Sóc Trăng,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-03,36.9,18.6,1.2,62,8.0,1
Sơn La,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-03,32.7,10.8,7.4,60,7.0,1
Tây Ninh,Đông Nam Bộ,Vietnam,2024-05-03,39.3,19.8,5.97,56,8.0,1
Thái Bình,Đồng Bằng Sông Hồng,Vietnam,2024-05-03,29.2,21.6,24.96,84,6.0,1
Thái Nguyên,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-03,29.0,13.7,46.9,90,6.0,1
Thanh Hóa,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-03,29.2,15.8,8.36,87,6.0,1
Thừa Thiên - Huế,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-03,33.7,13.7,12.2,80,7.0,1
Tiền Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-03,37.4,17.6,0.1,62,8.0,1
Trà Vinh,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-03,36.9,21.6,0.0,64,8.0,0
Tuyên Quang,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-03,29.3,16.6,46.36,90,6.0,1
Vĩnh Long,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-03,39.0,16.6,0.9,62,8.0,1
Vĩnh Phúc,Đồng Bằng Sông Hồng,Vietnam,2024-05-03,29.3,16.6,46.36,90,6.0,1
Yên Bái,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-03,29.3,16.6,46.36,90,6.0,1
An Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-04,36.0,14.8,11.4,61,8.0,1
Bà Rịa-Vũng Tàu,Đông Nam Bộ,Vietnam,2024-05-04,31.2,23.0,1.5,72,7.0,1
Bắc Giang,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-04,32.9,22.0,2.1,84,7.0,1
Bắc Kạn,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-04,29.1,6.5,2.1,93,6.0,1
Bạc Liêu,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-04,35.6,16.6,6.3,61,8.0,1
Bắc Ninh,Đồng Bằng Sông Hồng,Vietnam,2024-05-04,32.9,22.0,2.1,84,7.0,1
Bến Tre,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-04,36.9,15.1,15.4,66,8.0,1
Bình Định,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-04,34.4,22.7,1.1,77,7.0,1
Bình Dương,Đông Nam Bộ,Vietnam,2024-05-04,36.6,15.8,5.66,61,8.0,1
Bình Phước,Đông Nam Bộ,Vietnam,2024-05-04,36.5,13.7,13.99,72,8.0,1
Bình Thuận,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-04,33.3,21.6,1.1,75,7.0,1
Cà Mau,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-04,37.1,11.5,2.7,64,8.0,1
Cần Thơ,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-04,36.9,13.3,14.8,70,8.0,1
Cao Bằng,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-04,28.8,11.5,9.48,91,6.0,1
Đà Nẵng,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-04,31.9,17.3,0.6,82,7.0,1
Đắk Lắk,Tây Nguyên,Vietnam,2024-05-04,35.2,10.1,1.4,70,8.0,1
Đắk Nông,Tây Nguyên,Vietnam,2024-05-04,35.2,10.1,1.4,70,8.0,1
Điện Biên,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-04,35.9,11.9,0.0,45,9.0,0
Đồng Nai,Đông Nam Bộ,Vietnam,2024-05-04,36.6,15.8,5.66,61,8.0,1
Đồng Tháp,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-04,37.4,13.3,4.12,72,8.0,1
Gia Lai,Tây Nguyên,Vietnam,2024-05-04,32.0,10.3,7.99,73,7.0,1
Hà Giang,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-04,28.4,24.8,0.7,70,6.0,1
Hà Nam,Đồng Bằng Sông Hồng,Vietnam,2024-05-04,32.1,24.5,4.39,84,7.0,1
Hà Nội,Đồng Bằng Sông Hồng,Vietnam,2024-05-04,33.6,17.6,1.57,83,7.0,1
Hà Tĩnh,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-04,34.4,23.8,3.32,78,7.0,1
Hải Dương,Đồng Bằng Sông Hồng,Vietnam,2024-05-04,32.0,25.6,13.4,85,7.0,1
Hải Phòng,Đồng Bằng Sông Hồng,Vietnam,2024-05-04,30.7,25.6,18.2,85,7.0,1
Hậu Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-04,36.9,13.3,14.8,70,8.0,1
TP. Hồ Chí Minh,Đông Nam Bộ,Vietnam,2024-05-04,36.6,15.8,5.66,61,8.0,1
Hòa Bình,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-04,33.9,12.5,4.86,85,7.0,1
Hưng Yên,Đồng Bằng Sông Hồng,Vietnam,2024-05-04,32.1,24.5,4.39,84,7.0,1
Khánh Hòa,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-04,32.6,16.2,0.6,77,7.0,1
Kiên Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-04,33.8,19.8,6.58,70,7.0,1
Kon Tum,Tây Nguyên,Vietnam,2024-05-04,32.0,10.3,7.99,73,7.0,1
Lai Châu,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-04,26.5,7.7,0.0,72,6.0,0
Lâm Đồng,Tây Nguyên,Vietnam,2024-05-04,29.9,5.8,20.36,83,6.0,1
Lạng Sơn,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-04,28.6,18.0,11.4,89,6.0,1
Lào Cai,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-04,34.7,11.2,0.0,70,7.0,0
Long An,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-04,36.6,18.0,1.1,61,8.0,1
Nam Định,Đồng Bằng Sông Hồng,Vietnam,2024-05-04,32.1,24.5,4.39,84,7.0,1
Nghệ An,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-04,33.7,19.4,1.21,81,7.0,1
Ninh Bình,Đồng Bằng Sông Hồng,Vietnam,2024-05-04,32.1,24.5,4.39,84,7.0,1
Ninh Thuận,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-04,32.4,17.3,0.7,76,7.0,1
Phú Thọ,Đồng Bằng Sông Hồng,Vietnam,2024-05-04,32.6,16.2,0.2,81,7.0,1
Phú Yên,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-04,34.4,22.7,1.1,77,7.0,1
Quảng Bình,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-04,33.3,18.7,5.98,83,7.0,1
Quảng Nam,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-04,31.9,17.3,0.6,82,7.0,1
Quảng Ngãi,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-04,35.5,15.9,5.9,76,8.0,1
Quảng Ninh,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-04,27.0,17.6,7.25,90,6.0,1
Quảng Trị,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-04,31.0,12.7,11.01,80,7.0,1
Sóc Trăng,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-04,35.6,16.6,6.3,61,8.0,1
Sơn La,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-04,35.9,11.9,0.0,45,9.0,0
Tây Ninh,Đông Nam Bộ,Vietnam,2024-05-04,35.5,18.4,17.02,60,8.0,1
Thái Bình,Đồng Bằng Sông Hồng,Vietnam,2024-05-04,30.9,25.6,3.54,85,7.0,1
Thái Nguyên,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-04,31.7,12.2,1.7,87,7.0,1
Thanh Hóa,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-04,32.7,20.2,1.28,83,7.0,1
Thừa Thiên - Huế,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-04,31.0,12.7,11.01,80,7.0,1
Tiền Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-04,36.9,15.1,15.4,66,8.0,1
Trà Vinh,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-04,35.6,16.9,4.7,66,8.0,1
Tuyên Quang,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-04,32.6,16.2,0.2,81,7.0,1
Vĩnh Long,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-04,38.5,11.9,7.08,69,8.0,1
Vĩnh Phúc,Đồng Bằng Sông Hồng,Vietnam,2024-05-04,32.6,16.2,0.2,81,7.0,1
Yên Bái,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-04,32.6,16.2,0.2,81,7.0,1
An Giang,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-05,35.8,16.0,19.2,67,8.0,1
Bà Rịa-Vũng Tàu,Đông Nam Bộ,Vietnam,2024-05-05,31.9,21.6,1.78,72,7.0,1
Bắc Giang,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-05,30.6,15.1,0.0,79,7.0,0
Bắc Kạn,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-05,27.2,6.5,0.2,96,6.0,1
Bạc Liêu,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-05,36.1,18.0,10.8,63,8.0,1
Bắc Ninh,Đồng Bằng Sông Hồng,Vietnam,2024-05-05,30.6,15.1,0.0,79,7.0,0
Bến Tre,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-05,35.3,11.2,10.3,72,8.0,1
Bình Định,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-05,34.5,22.3,0.7,75,7.0,1
Bình Dương,Đông Nam Bộ,Vietnam,2024-05-05,36.0,17.3,23.99,67,8.0,1
Bình Phước,Đông Nam Bộ,Vietnam,2024-05-05,35.5,15.1,9.48,76,8.0,1
Bình Thuận,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-05,33.0,19.4,1.01,74,7.0,1
Cà Mau,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-05,35.8,9.4,25.7,74,8.0,1
Cần Thơ,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-05,36.0,11.6,13.34,73,8.0,1
Cao Bằng,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-05,26.8,6.6,1.07,95,6.0,1
Đà Nẵng,Bắc Trung Bộ và Duyên hải miền Trung,Vietnam,2024-05-05,33.3,18.0,0.0,81,7.0,0
Đắk Lắk,Tây Nguyên,Vietnam,2024-05-05,34.4,9.7,8.54,75,7.0,1
Đắk Nông,Tây Nguyên,Vietnam,2024-05-05,34.4,9.7,8.54,75,7.0,1
Điện Biên,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-05,37.5,10.4,17.3,35,8.0,1
Đồng Nai,Đông Nam Bộ,Vietnam,2024-05-05,36.0,17.3,23.99,67,8.0,1
Đồng Tháp,Đồng Bằng Sông Cửu Long,Vietnam,2024-05-05,36.3,14.6,14.71,74,8.0,1
Gia Lai,Tây Nguyên,Vietnam,2024-05-05,32.2,11.0,4.0,75,7.0,1
Hà Giang,Trung du và miền núi Bắc Bộ,Vietnam,2024-05-05,26.3,21.6,10.0,77,6.0,1
Hà Nam,Đồng Bằng Sông Hồng,Vietnam,2024-05-05,29.2,19.1,2.8,85,6.0,1
Hà Nội,Đồng Bằng Sông Hồng,Vietnam,2024-05-05,30.1,18.0,2.77,83,7.0,1
